"CountryID","Area","PA","KBAoutPA","PAprop","KBAoutPAprop","cou30W20","cou30W20prop","cou30W20Left","cou30W20Leftprop","cou30W40","cou30W40prop","cou30W40Left","cou30W40Leftprop","cou30W60","cou30W60prop","cou30W60Left","cou30W60Leftprop","cou30W80","cou30W80prop","cou30W80Left","cou30W80Leftprop","cou30W0","cou30W0prop","cou30W0Left","cou30W0Leftprop","cou30W100","cou30W100prop","cou30W100Left","cou30W100Leftprop","cou50W20","cou50W20prop","cou50W20Left","cou50W20Leftprop","cou50W40","cou50W40prop","cou50W40Left","cou50W40Leftprop","cou50W60","cou50W60prop","cou50W60Left","cou50W60Leftprop","cou50W80","cou50W80prop","cou50W80Left","cou50W80Leftprop","cou50W0","cou50W0prop","cou50W0Left","cou50W0Leftprop","cou50W100","cou50W100prop","cou50W100Left","cou50W100Leftprop","glo30W20","glo30W20prop","glo30W20Left","glo30W20Leftprop","glo30W40","glo30W40prop","glo30W40Left","glo30W40Leftprop","glo30W60","glo30W60prop","glo30W60Left","glo30W60Leftprop","glo30W80","glo30W80prop","glo30W80Left","glo30W80Leftprop","glo30W0","glo30W0prop","glo30W0Left","glo30W0Leftprop","glo30W100","glo30W100prop","glo30W100Left","glo30W100Leftprop","glo50W20","glo50W20prop","glo50W20Left","glo50W20Leftprop","glo50W40","glo50W40prop","glo50W40Left","glo50W40Leftprop","glo50W60","glo50W60prop","glo50W60Left","glo50W60Leftprop","glo50W80","glo50W80prop","glo50W80Left","glo50W80Leftprop","glo50W0","glo50W0prop","glo50W0Left","glo50W0Leftprop","glo50W100","glo50W100prop","glo50W100Left","glo50W100Leftprop"
14,575,0,25,0,0.0434782608695652,0,0,550,0.956521739130435,0,0,550,0.956521739130435,0,0,550,0.956521739130435,0,0,550,0.956521739130435,550,0.956521739130435,0,0,0,0,550,0.956521739130435,550,0.956521739130435,0,0,550,0.956521739130435,0,0,550,0.956521739130435,0,0,550,0.956521739130435,0,0,550,0.956521739130435,0,0,550,0.956521739130435,0,0,100,0.173913043478261,450,0.782608695652174,125,0.217391304347826,425,0.739130434782609,175,0.304347826086957,375,0.652173913043478,200,0.347826086956522,350,0.608695652173913,0,0,550,0.956521739130435,225,0.391304347826087,325,0.565217391304348,100,0.173913043478261,450,0.782608695652174,125,0.217391304347826,425,0.739130434782609,175,0.304347826086957,375,0.652173913043478,200,0.347826086956522,350,0.608695652173913,550,0.956521739130435,0,0,250,0.434782608695652,300,0.521739130434783
15,138175,5675,5450,0.0410711054821784,0.0394427356612991,28275,0.204631807490501,98775,0.714854351366021,28275,0.204631807490501,98775,0.714854351366021,28275,0.204631807490501,98775,0.714854351366021,28275,0.204631807490501,98775,0.714854351366021,32400,0.234485254206622,94650,0.6850009046499,28275,0.204631807490501,98775,0.714854351366021,61400,0.444364031119957,65650,0.475122127736566,61400,0.444364031119957,65650,0.475122127736566,61400,0.444364031119957,65650,0.475122127736566,61400,0.444364031119957,65650,0.475122127736566,61400,0.444364031119957,65650,0.475122127736566,61400,0.444364031119957,65650,0.475122127736566,16475,0.119232856884386,110575,0.800253301972137,16250,0.117604487063506,110800,0.801881671793016,16925,0.122489596526144,110125,0.796996562330378,17550,0.127012846028587,109500,0.792473312827936,19725,0.142753754297087,107325,0.776732404559435,18050,0.130631445630541,109000,0.788854713225982,25650,0.185634159580242,101400,0.73385199927628,25425,0.184005789759363,101625,0.735480369097159,25050,0.181291840057898,102000,0.738194318798625,25100,0.181653700018093,101950,0.73783245883843,126975,0.918943368916229,75,0.000542789940293109,25475,0.184367649719559,101575,0.735118509136964
16,425,0,50,0,0.117647058823529,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0,375,0.882352941176471,0,0
17,207325,27125,3175,0.130833232846979,0.0153141203424575,28800,0.138912335704811,148225,0.714940311105752,28800,0.138912335704811,148225,0.714940311105752,28800,0.138912335704811,148225,0.714940311105752,28800,0.138912335704811,148225,0.714940311105752,28800,0.138912335704811,148225,0.714940311105752,28825,0.139032919329555,148200,0.714819727481008,78525,0.37875316532015,98500,0.475099481490414,78525,0.37875316532015,98500,0.475099481490414,78525,0.37875316532015,98500,0.475099481490414,78525,0.37875316532015,98500,0.475099481490414,68200,0.328952128300977,108825,0.524900518509586,78525,0.37875316532015,98500,0.475099481490414,4300,0.0207403834559267,172725,0.833112263354637,5850,0.0282165681900398,171175,0.825636078620523,7000,0.0337634149282527,170025,0.82008923188231,8125,0.0391896780417219,168900,0.814662968768841,75,0.000361750874231279,176950,0.853490895936332,8675,0.0418425177860847,168350,0.812010129024479,94150,0.454117930784999,82875,0.399734716025564,95825,0.462197033642831,81200,0.391655613167732,97250,0.469070300253226,79775,0.384782346557338,98400,0.474617146991439,78625,0.379235499819125,2675,0.0129024478475823,174350,0.840950198962981,98950,0.477269986735801,78075,0.376582660074762
18,30600,4850,2325,0.158496732026144,0.0759803921568627,1550,0.0506535947712418,21875,0.714869281045752,1550,0.0506535947712418,21875,0.714869281045752,1550,0.0506535947712418,21875,0.714869281045752,1550,0.0506535947712418,21875,0.714869281045752,2150,0.0702614379084967,21275,0.695261437908497,1550,0.0506535947712418,21875,0.714869281045752,8875,0.290032679738562,14550,0.475490196078431,8875,0.290032679738562,14550,0.475490196078431,8875,0.290032679738562,14550,0.475490196078431,8875,0.290032679738562,14550,0.475490196078431,8825,0.288398692810457,14600,0.477124183006536,8875,0.290032679738562,14550,0.475490196078431,100,0.00326797385620915,23325,0.762254901960784,50,0.00163398692810458,23375,0.763888888888889,50,0.00163398692810458,23375,0.763888888888889,0,0,23425,0.765522875816994,375,0.0122549019607843,23050,0.753267973856209,0,0,23425,0.765522875816994,2000,0.065359477124183,21425,0.700163398692811,2150,0.0702614379084967,21275,0.695261437908497,2225,0.0727124183006536,21200,0.69281045751634,2275,0.0743464052287582,21150,0.691176470588235,7050,0.230392156862745,16375,0.535130718954248,2275,0.0743464052287582,21150,0.691176470588235
19,22150,7750,6900,0.349887133182844,0.311512415349887,550,0.0248306997742664,6950,0.313769751693002,550,0.0248306997742664,6950,0.313769751693002,550,0.0248306997742664,6950,0.313769751693002,550,0.0248306997742664,6950,0.313769751693002,550,0.0248306997742664,6950,0.313769751693002,550,0.0248306997742664,6950,0.313769751693002,550,0.0248306997742664,6950,0.313769751693002,550,0.0248306997742664,6950,0.313769751693002,550,0.0248306997742664,6950,0.313769751693002,550,0.0248306997742664,6950,0.313769751693002,550,0.0248306997742664,6950,0.313769751693002,550,0.0248306997742664,6950,0.313769751693002,525,0.0237020316027088,6975,0.31489841986456,650,0.0293453724604966,6850,0.309255079006772,700,0.0316027088036117,6800,0.306997742663657,875,0.0395033860045147,6625,0.299097065462754,525,0.0237020316027088,6975,0.31489841986456,1050,0.0474040632054176,6450,0.291196388261851,5875,0.265237020316027,1625,0.0733634311512416,5875,0.265237020316027,1625,0.0733634311512416,5925,0.267494356659142,1575,0.0711060948081264,5950,0.2686230248307,1550,0.0699774266365689,575,0.0259593679458239,6925,0.312641083521445,5975,0.269751693002257,1525,0.0688487584650113
20,116950,32775,1175,0.280247969217614,0.01004702864472,2125,0.0181701581872595,80875,0.691534843950406,2050,0.0175288584865327,80950,0.692176143651133,1975,0.0168875587858059,81025,0.69281744335186,2025,0.0173150919196238,80975,0.692389910218042,2875,0.0245831551945276,80125,0.685121846943138,1925,0.016460025651988,81075,0.693244976485678,27425,0.234501923899102,55575,0.475203078238564,27425,0.234501923899102,55575,0.475203078238564,27425,0.234501923899102,55575,0.475203078238564,27425,0.234501923899102,55575,0.475203078238564,21675,0.185335613510047,61325,0.524369388627619,27425,0.234501923899102,55575,0.475203078238564,1950,0.016673792218897,81050,0.693031209918769,1975,0.0168875587858059,81025,0.69281744335186,1875,0.0160324925181702,81125,0.693672509619496,1625,0.0138948268490808,81375,0.695810175288585,2625,0.0224454895254382,80375,0.687259512612228,1475,0.0126122274476272,81525,0.697092774690038,33975,0.290508764429243,49025,0.419196237708422,35375,0.302479692176144,47625,0.407225309961522,35800,0.306113723813596,47200,0.40359127832407,36275,0.310175288584865,46725,0.3995297135528,4475,0.0382642154766994,78525,0.671440786660966,36600,0.312954253954681,46400,0.396750748182984
21,40050,16400,3525,0.409488139825218,0.0880149812734082,1000,0.0249687890137328,19125,0.47752808988764,1000,0.0249687890137328,19125,0.47752808988764,1000,0.0249687890137328,19125,0.47752808988764,1000,0.0249687890137328,19125,0.47752808988764,1000,0.0249687890137328,19125,0.47752808988764,1000,0.0249687890137328,19125,0.47752808988764,1100,0.0274656679151061,19025,0.475031210986267,1100,0.0274656679151061,19025,0.475031210986267,1100,0.0274656679151061,19025,0.475031210986267,1100,0.0274656679151061,19025,0.475031210986267,1100,0.0274656679151061,19025,0.475031210986267,1100,0.0274656679151061,19025,0.475031210986267,5200,0.129837702871411,14925,0.372659176029963,5550,0.138576779026217,14575,0.363920099875156,6375,0.159176029962547,13750,0.343320848938826,6775,0.16916354556804,13350,0.333333333333333,6850,0.17103620474407,13275,0.331460674157303,7325,0.182896379525593,12800,0.31960049937578,19050,0.47565543071161,1075,0.0268414481897628,19025,0.475031210986267,1100,0.0274656679151061,19025,0.475031210986267,1100,0.0274656679151061,19025,0.475031210986267,1100,0.0274656679151061,20125,0.502496878901373,0,0,19025,0.475031210986267,1100,0.0274656679151061
22,1089725,327550,73000,0.300580421666017,0.0669893780540962,27225,0.0249833673633256,661950,0.607446832916562,27225,0.0249833673633256,661950,0.607446832916562,27225,0.0249833673633256,661950,0.607446832916562,27225,0.0249833673633256,661950,0.607446832916562,27225,0.0249833673633256,661950,0.607446832916562,27200,0.0249604257954989,661975,0.607469774484388,171550,0.157425038427126,517625,0.475005161852761,171550,0.157425038427126,517625,0.475005161852761,171550,0.157425038427126,517625,0.475005161852761,171550,0.157425038427126,517625,0.475005161852761,171550,0.157425038427126,517625,0.475005161852761,171550,0.157425038427126,517625,0.475005161852761,177375,0.162770423730758,511800,0.469659776549129,207025,0.189979123173278,482150,0.442451077106609,216900,0.199041042464842,472275,0.433389157815045,222350,0.204042304251073,466825,0.428387896028815,151525,0.139048842597903,537650,0.493381357681984,225775,0.207185299043337,463400,0.425244901236551,486850,0.446764091858038,202325,0.18566610842185,484575,0.444676409185804,204600,0.187753791094083,483150,0.443368739819679,206025,0.189061460460208,481675,0.442015187317901,207500,0.190415012961986,372625,0.341944068457638,316550,0.290486131822249,480275,0.440730459519604,208900,0.191699740760284
23,51500,2250,725,0.0436893203883495,0.0140776699029126,13225,0.256796116504854,35300,0.685436893203884,13200,0.25631067961165,35325,0.685922330097087,13225,0.256796116504854,35300,0.685436893203884,13225,0.256796116504854,35300,0.685436893203884,13225,0.256796116504854,35300,0.685436893203884,13225,0.256796116504854,35300,0.685436893203884,24050,0.466990291262136,24475,0.475242718446602,24050,0.466990291262136,24475,0.475242718446602,24050,0.466990291262136,24475,0.475242718446602,24050,0.466990291262136,24475,0.475242718446602,24050,0.466990291262136,24475,0.475242718446602,24050,0.466990291262136,24475,0.475242718446602,3950,0.0766990291262136,44575,0.865533980582524,5400,0.104854368932039,43125,0.837378640776699,6475,0.125728155339806,42050,0.816504854368932,7325,0.142233009708738,41200,0.8,3375,0.0655339805825243,45150,0.876699029126214,8275,0.160679611650485,40250,0.781553398058253,36150,0.701941747572816,12375,0.240291262135922,36250,0.703883495145631,12275,0.238349514563107,36325,0.705339805825243,12200,0.236893203883495,36375,0.706310679611651,12150,0.235922330097087,33700,0.654368932038835,14825,0.287864077669903,36475,0.708252427184466,12050,0.233980582524272
24,580850,169875,31925,0.292459326848584,0.0549625548764741,12250,0.0210897822157183,366800,0.631488336059223,5650,0.00972712404235173,373400,0.64285099423259,3775,0.00649909615219076,375275,0.646079022122751,3525,0.00606869243350263,375525,0.646509425841439,14500,0.0249634156839115,364550,0.62761470259103,3225,0.00555220797107687,375825,0.647025910303865,103125,0.177541533958853,275925,0.475036584316088,103125,0.177541533958853,275925,0.475036584316088,103125,0.177541533958853,275925,0.475036584316088,103125,0.177541533958853,275925,0.475036584316088,74125,0.12761470259103,304925,0.524963415683911,103125,0.177541533958853,275925,0.475036584316088,875,0.00150641301540845,378175,0.651071705259533,200,0.000344322974950504,378850,0.652233795299991,125,0.000215201859344065,378925,0.652362916415598,100,0.000172161487475252,378950,0.652405956787467,3075,0.00529396573986399,375975,0.647284152535078,175,0.000301282603081691,378875,0.65227683567186,81700,0.140655935267281,297350,0.511922183007661,87100,0.149952655590944,291950,0.502625462683998,91300,0.157183438064905,287750,0.495394680210037,94275,0.162305242317294,284775,0.490272875957648,8900,0.0153223723852974,370150,0.637255745889644,96250,0.16570543169493,282800,0.486872686580012
25,8524075,2530275,411825,0.296838659913246,0.0483131600789528,213100,0.0249997800347838,5368875,0.629848399973018,213100,0.0249997800347838,5368875,0.629848399973018,213100,0.0249997800347838,5368875,0.629848399973018,213100,0.0249997800347838,5368875,0.629848399973018,213100,0.0249997800347838,5368875,0.629848399973018,213100,0.0249997800347838,5368875,0.629848399973018,1533025,0.179846493607811,4048950,0.475001686399991,1533025,0.179846493607811,4048950,0.475001686399991,1533025,0.179846493607811,4048950,0.475001686399991,1533025,0.179846493607811,4048950,0.475001686399991,1533025,0.179846493607811,4048950,0.475001686399991,1533025,0.179846493607811,4048950,0.475001686399991,1433075,0.168120881151327,4148900,0.486727298856474,1452500,0.170399720790819,4129475,0.484448459216982,1457550,0.170992160439696,4124425,0.483856019568106,1453300,0.170493572616384,4128675,0.484354607391418,911700,0.106955886709115,4670275,0.547892293298686,1449900,0.170094702357734,4132075,0.484753477650068,3483325,0.408645512856234,2098650,0.246202667151568,3487600,0.409147033549095,2094375,0.245701146458707,3493600,0.40985092224083,2088375,0.244997257766972,3496350,0.410173537891208,2085625,0.244674642116593,2059725,0.241636189263938,3522250,0.413211990743864,3493375,0.40982452641489,2088600,0.245023653592912
26,5775,2150,525,0.372294372294372,0.0909090909090909,125,0.0216450216450216,2975,0.515151515151515,125,0.0216450216450216,2975,0.515151515151515,125,0.0216450216450216,2975,0.515151515151515,125,0.0216450216450216,2975,0.515151515151515,125,0.0216450216450216,2975,0.515151515151515,125,0.0216450216450216,2975,0.515151515151515,350,0.0606060606060606,2750,0.476190476190476,350,0.0606060606060606,2750,0.476190476190476,350,0.0606060606060606,2750,0.476190476190476,350,0.0606060606060606,2750,0.476190476190476,350,0.0606060606060606,2750,0.476190476190476,350,0.0606060606060606,2750,0.476190476190476,2100,0.363636363636364,1000,0.173160173160173,2250,0.38961038961039,850,0.147186147186147,2300,0.398268398268398,800,0.138528138528138,2350,0.406926406926407,750,0.12987012987013,1725,0.298701298701299,1375,0.238095238095238,2350,0.406926406926407,750,0.12987012987013,2850,0.493506493506494,250,0.0432900432900432,2850,0.493506493506494,250,0.0432900432900432,2850,0.493506493506494,250,0.0432900432900432,2850,0.493506493506494,250,0.0432900432900432,3100,0.536796536796537,0,-1.11022302462516e-16,2850,0.493506493506494,250,0.0432900432900432
