"ecoregionID","Area","PA","KBAoutPA","PAprop","KBAoutPAprop","cou30W20","cou30W20prop","cou30W20Left","cou30W20Leftprop","cou30W40","cou30W40prop","cou30W40Left","cou30W40Leftprop","cou30W60","cou30W60prop","cou30W60Left","cou30W60Leftprop","cou30W80","cou30W80prop","cou30W80Left","cou30W80Leftprop","cou30W0","cou30W0prop","cou30W0Left","cou30W0Leftprop","cou30W100","cou30W100prop","cou30W100Left","cou30W100Leftprop","cou50W20","cou50W20prop","cou50W20Left","cou50W20Leftprop","cou50W40","cou50W40prop","cou50W40Left","cou50W40Leftprop","cou50W60","cou50W60prop","cou50W60Left","cou50W60Leftprop","cou50W80","cou50W80prop","cou50W80Left","cou50W80Leftprop","cou50W0","cou50W0prop","cou50W0Left","cou50W0Leftprop","cou50W100","cou50W100prop","cou50W100Left","cou50W100Leftprop","glo30W20","glo30W20prop","glo30W20Left","glo30W20Leftprop","glo30W40","glo30W40prop","glo30W40Left","glo30W40Leftprop","glo30W60","glo30W60prop","glo30W60Left","glo30W60Leftprop","glo30W80","glo30W80prop","glo30W80Left","glo30W80Leftprop","glo30W0","glo30W0prop","glo30W0Left","glo30W0Leftprop","glo30W100","glo30W100prop","glo30W100Left","glo30W100Leftprop","glo50W20","glo50W20prop","glo50W20Left","glo50W20Leftprop","glo50W40","glo50W40prop","glo50W40Left","glo50W40Leftprop","glo50W60","glo50W60prop","glo50W60Left","glo50W60Leftprop","glo50W80","glo50W80prop","glo50W80Left","glo50W80Leftprop","glo50W0","glo50W0prop","glo50W0Left","glo50W0Leftprop","glo50W100","glo50W100prop","glo50W100Left","glo50W100Leftprop"
702,46200,21075,4925,0.456168831168831,0.106601731601732,3350,0.0725108225108225,16850,0.364718614718615,2825,0.0611471861471861,17375,0.376082251082251,2900,0.0627705627705628,17300,0.374458874458874,3275,0.0708874458874459,16925,0.366341991341991,3450,0.0746753246753247,16750,0.362554112554113,3225,0.0698051948051948,16975,0.367424242424242,16550,0.358225108225108,3650,0.079004329004329,16675,0.360930735930736,3525,0.0762987012987013,16775,0.363095238095238,3425,0.0741341991341991,16850,0.364718614718615,3350,0.0725108225108225,9450,0.204545454545455,10750,0.232683982683983,16975,0.367424242424242,3225,0.0698051948051948,1650,0.0357142857142857,18550,0.401515151515151,1425,0.0308441558441558,18775,0.406385281385281,1375,0.0297619047619048,18825,0.407467532467532,1375,0.0297619047619048,18825,0.407467532467532,4250,0.091991341991342,15950,0.345238095238095,1475,0.0319264069264069,18725,0.40530303030303,13225,0.286255411255411,6975,0.150974025974026,13600,0.294372294372294,6600,0.142857142857143,13750,0.297619047619048,6450,0.13961038961039,13950,0.301948051948052,6250,0.135281385281385,15225,0.329545454545455,4975,0.107683982683983,14025,0.303571428571429,6175,0.133658008658009
703,101725,0,11675,0,0.114770213811747,6275,0.0616859179159499,83775,0.823543868272303,7975,0.0783976406979602,82075,0.806832145490292,8625,0.0847874170557877,81425,0.800442369132465,9375,0.092160235930204,80675,0.793069550258049,7375,0.0724993855984271,82675,0.812730400589825,9325,0.0916687146719096,80725,0.793561071516343,56125,0.551732612435488,33925,0.333497173752765,57275,0.56303760137626,32775,0.322192184811993,57700,0.567215532071762,32350,0.318014254116491,58000,0.570164659621529,32050,0.315065126566724,31000,0.304743180142541,59050,0.580486606045711,58325,0.573359547800442,31725,0.31187023838781,5625,0.0552961415581224,84425,0.82993364463013,5625,0.0552961415581224,84425,0.82993364463013,5625,0.0552961415581224,84425,0.82993364463013,5625,0.0552961415581224,84425,0.82993364463013,7950,0.078151880068813,82100,0.80707790611944,5625,0.0552961415581224,84425,0.82993364463013,34200,0.336200540673384,55850,0.549029245514869,35050,0.344556402064389,55000,0.540673384123863,35625,0.350208896534775,54425,0.535020889653478,35950,0.353403784713689,54100,0.531826001474564,21100,0.207421971000246,68950,0.677807815188007,36350,0.357335954780044,53700,0.527893831408208
704,82950,23650,4875,0.285111512959614,0.0587703435804702,21050,0.253767329716697,33375,0.402350813743219,21600,0.260397830018083,32825,0.395720313441832,22325,0.26913803496082,32100,0.386980108499096,22925,0.276371308016878,31500,0.379746835443038,21450,0.258589511754069,32975,0.397528631705847,22575,0.272151898734177,31850,0.383966244725738,52875,0.637432188065099,1550,0.0186859553948161,53075,0.639843279083785,1350,0.0162748643761301,53125,0.640446051838457,1300,0.0156720916214587,53125,0.640446051838457,1300,0.0156720916214587,24925,0.300482218203737,29500,0.355635925256178,53000,0.638939119951778,1425,0.0171790235081374,17900,0.215792646172393,36525,0.440325497287523,16750,0.201928872814949,37675,0.454189270644967,15825,0.190777576853526,38600,0.465340566606389,15125,0.182338758288125,39300,0.47377938517179,22900,0.276069921639542,31525,0.380048221820374,14400,0.173598553345389,40025,0.482519590114527,47600,0.573839662447257,6825,0.0822784810126582,48425,0.583785412899337,6000,0.0723327305605787,48925,0.589813140446052,5500,0.0663050030138638,49250,0.593731163351417,5175,0.0623869801084991,34350,0.414104882459313,20075,0.242013261000603,49425,0.595840867992767,5000,0.0602772754671489
705,16700,8875,1950,0.531437125748503,0.116766467065868,2025,0.12125748502994,3850,0.230538922155689,2975,0.17814371257485,2900,0.173652694610778,3600,0.215568862275449,2275,0.13622754491018,3950,0.236526946107784,1925,0.115269461077844,350,0.0209580838323353,5525,0.330838323353293,4050,0.24251497005988,1825,0.109281437125749,5800,0.347305389221557,75,0.00449101796407186,5800,0.347305389221557,75,0.00449101796407186,5800,0.347305389221557,75,0.00449101796407186,5800,0.347305389221557,75,0.00449101796407186,200,0.0119760479041916,5675,0.339820359281437,5825,0.348802395209581,50,0.00299401197604793,325,0.0194610778443114,5550,0.332335329341317,350,0.0209580838323353,5525,0.330838323353293,250,0.0149700598802395,5625,0.336826347305389,225,0.0134730538922156,5650,0.338323353293413,275,0.0164670658682635,5600,0.335329341317365,275,0.0164670658682635,5600,0.335329341317365,5775,0.345808383233533,100,0.00598802395209586,5775,0.345808383233533,100,0.00598802395209586,5775,0.345808383233533,100,0.00598802395209586,5800,0.347305389221557,75,0.00449101796407186,2575,0.154191616766467,3300,0.197604790419162,5800,0.347305389221557,75,0.00449101796407186
706,80175,29150,4600,0.363579669473028,0.0573744932959152,20775,0.25912067352666,25650,0.319925163704397,20150,0.251325226067976,26275,0.327720611163081,19675,0.245400685999376,26750,0.333645151231681,20025,0.249766136576239,26400,0.329279700654818,21225,0.264733395696913,25200,0.314312441534144,20125,0.251013408169629,26300,0.328032429061428,39725,0.495478640473963,6700,0.0835671967570938,39525,0.492984097287184,6900,0.0860617399438728,39400,0.491425007795447,7025,0.0876208294356096,39375,0.4911131898971,7050,0.087932647333957,29525,0.368256937948238,16900,0.210788899282819,39325,0.490489554100405,7100,0.0885562831306517,17675,0.220455254131587,28750,0.35859058309947,15575,0.194262550670408,30850,0.384783286560649,14900,0.18584346741503,31525,0.393202369816027,14600,0.182101652634861,31825,0.396944184596196,21325,0.265980667290302,25100,0.313065169940755,14900,0.18584346741503,31525,0.393202369816027,37500,0.467726847521048,8925,0.111318989710009,37425,0.466791393826006,9000,0.112254443405051,37600,0.468974119114437,8825,0.11007171811662,37675,0.469909572809479,8750,0.109136264421578,46425,0.579045837231057,0,0,37375,0.466167758029311,9050,0.112878079201746
707,357200,64350,11775,0.18015117581187,0.032964725643897,68975,0.193099104143337,212100,0.593784994400896,63625,0.17812150055991,217450,0.608762597984323,62275,0.174342105263158,218800,0.612541993281075,61500,0.172172452407615,219575,0.614711646136618,201775,0.564879619260918,79300,0.222004479283315,64000,0.179171332586786,217075,0.607712765957447,225975,0.632628779395297,55100,0.154255319148936,224975,0.629829227323628,56100,0.157054871220605,224300,0.627939529675252,56775,0.158944568868981,224000,0.627099664053751,57075,0.159784434490482,149775,0.419302911534155,131300,0.367581187010078,223900,0.626819708846585,57175,0.160064389697648,1800,0.00503919372900336,279275,0.78184490481523,175,0.000489921612541993,280900,0.786394176931691,75,0.00020996640537514,281000,0.786674132138858,150,0.00041993281075028,280925,0.786464165733483,31175,0.0872760358342665,249900,0.699608062709966,275,0.000769876819708847,280800,0.786114221724524,199875,0.559560470324748,81200,0.227323628219485,199225,0.557740761478164,81850,0.229143337066069,199800,0.559350503919373,81275,0.22753359462486,200150,0.560330347144457,80925,0.226553751399776,114025,0.319218924972004,167050,0.467665173572228,200150,0.560330347144457,80925,0.226553751399776
708,15075,550,425,0.0364842454394693,0.0281923714759536,5600,0.371475953565506,8500,0.563847429519071,5100,0.338308457711443,9000,0.597014925373134,4325,0.286898839137645,9775,0.648424543946932,3925,0.260364842454395,10175,0.674958540630182,8125,0.538971807628524,5975,0.396351575456053,3525,0.233830845771144,10575,0.701492537313433,8425,0.558872305140962,5675,0.376451077943615,8200,0.543946932006633,5900,0.391376451077944,8175,0.54228855721393,5925,0.393034825870647,8025,0.532338308457711,6075,0.402985074626866,11650,0.772802653399668,2450,0.162520729684909,8000,0.530679933665008,6100,0.404643449419569,4625,0.306799336650083,9475,0.628524046434494,3550,0.235489220563847,10550,0.69983416252073,2775,0.18407960199005,11325,0.751243781094527,2525,0.167495854063018,11575,0.767827529021559,3575,0.237147595356551,10525,0.698175787728026,2300,0.15257048092869,11800,0.782752902155887,9400,0.623548922056385,4700,0.311774461028192,9550,0.633499170812604,4550,0.301824212271973,9750,0.646766169154229,4350,0.288557213930348,9750,0.646766169154229,4350,0.288557213930348,10900,0.723051409618574,3200,0.212271973466003,9900,0.656716417910448,4200,0.278606965174129
709,27175,4075,1275,0.149954001839926,0.046918123275069,6500,0.239190432382705,15325,0.5639374425023,6825,0.25114995400184,15000,0.551977920883165,7075,0.260349586016559,14750,0.542778288868445,7450,0.274149034038638,14375,0.528978840846366,5775,0.212511499540018,16050,0.590616375344986,7625,0.280588776448942,14200,0.522539098436063,16475,0.606255749770009,5350,0.196872125114996,16400,0.603495860165593,5425,0.199632014719411,16400,0.603495860165593,5425,0.199632014719411,16475,0.606255749770009,5350,0.196872125114996,9100,0.334866605335787,12725,0.468261269549218,16500,0.607175712971481,5325,0.195952161913524,3950,0.145354185832567,17875,0.657773689052438,3750,0.137994480220791,18075,0.665133394664214,3750,0.137994480220791,18075,0.665133394664214,3600,0.13247470101196,18225,0.670653173873045,9300,0.342226310947562,12525,0.460901563937443,3625,0.133394664213431,18200,0.669733210671573,16275,0.598896044158234,5550,0.204231830726771,16375,0.602575896964121,5450,0.200551977920883,16400,0.603495860165593,5425,0.199632014719411,16325,0.600735970561178,5500,0.202391904323827,9050,0.333026678932843,12775,0.470101195952162,16375,0.602575896964121,5450,0.200551977920883
710,3906925,443450,17825,0.113503586580239,0.00456241161527288,223925,0.0573148959859736,3221725,0.824619105818514,226400,0.0579483865188095,3219250,0.823985615285679,228675,0.0585306858974769,3216975,0.823403315907011,229375,0.0587098549370669,3216275,0.823224146867421,328925,0.0841902519244675,3116725,0.797743749880021,238025,0.0609238723548571,3207625,0.821010129449631,964175,0.246786155352355,2481475,0.635147846452133,948725,0.242831638692834,2496925,0.639102363111654,947350,0.242479699507925,2498300,0.639454302296563,948800,0.242850835375647,2496850,0.639083166428841,1329475,0.340286798441229,2116175,0.541647203363259,949675,0.243074796675135,2495975,0.638859205129354,202925,0.0519398247982749,3242725,0.829994177006213,202925,0.0519398247982749,3242725,0.829994177006213,202925,0.0519398247982749,3242725,0.829994177006213,202925,0.0519398247982749,3242725,0.829994177006213,202925,0.0519398247982749,3242725,0.829994177006213,202925,0.0519398247982749,3242725,0.829994177006213,808975,0.207061819717553,2636675,0.674872182086935,814050,0.20836079525458,2631600,0.673573206549908,821575,0.210286862430172,2624075,0.671647139374316,826900,0.21164982690991,2618750,0.670284174894578,202975,0.051952622586817,3242675,0.829981379217671,831375,0.212795228984431,2614275,0.669138772820057
711,89700,11975,6950,0.133500557413601,0.0774804905239688,5000,0.0557413600891862,65775,0.733277591973244,4975,0.0554626532887402,65800,0.73355629877369,4925,0.0549052396878484,65850,0.734113712374582,4850,0.0540691192865106,65925,0.73494983277592,4975,0.0554626532887402,65800,0.73355629877369,2400,0.0267558528428094,68375,0.762263099219621,25400,0.283166109253066,45375,0.505852842809364,25425,0.283444816053512,45350,0.505574136008919,25400,0.283166109253066,45375,0.505852842809364,25375,0.28288740245262,45400,0.50613154960981,19750,0.220178372352285,51025,0.568840579710145,25350,0.282608695652174,45425,0.506410256410256,12450,0.138795986622074,58325,0.650222965440357,8375,0.0933667781493868,62400,0.695652173913043,6475,0.0721850613154961,64300,0.716833890746934,1175,0.0130992196209588,69600,0.775919732441472,13350,0.148829431438127,57425,0.640189520624303,225,0.00250836120401338,70550,0.786510590858417,12975,0.144648829431438,57800,0.644370122630992,13025,0.14520624303233,57750,0.6438127090301,12925,0.144091415830546,57850,0.644927536231884,12900,0.1438127090301,57875,0.64520624303233,15375,0.171404682274247,55400,0.617614269788183,11750,0.130992196209588,59025,0.658026755852843
712,15325,2700,475,0.176182707993475,0.0309951060358891,2075,0.135399673735726,10075,0.65742251223491,1950,0.127243066884176,10200,0.66557911908646,1950,0.127243066884176,10200,0.66557911908646,1950,0.127243066884176,10200,0.66557911908646,1900,0.123980424143556,10250,0.66884176182708,1950,0.127243066884176,10200,0.66557911908646,9075,0.592169657422512,3075,0.200652528548124,9100,0.593800978792822,3050,0.199021207177814,9125,0.595432300163132,3025,0.197389885807504,9125,0.595432300163132,3025,0.197389885807504,5725,0.373572593800979,6425,0.419249592169657,9125,0.595432300163132,3025,0.197389885807504,1150,0.0750407830342577,11000,0.717781402936378,1450,0.0946166394779772,10700,0.698205546492659,1600,0.104404567699837,10550,0.688417618270799,1725,0.112561174551387,10425,0.68026101141925,500,0.032626427406199,11650,0.760195758564437,1750,0.114192495921697,10400,0.67862969004894,8250,0.538336052202284,3900,0.254486133768352,8325,0.543230016313214,3825,0.249592169657423,8375,0.546492659053834,3775,0.246329526916803,8400,0.548123980424144,3750,0.244698205546493,1825,0.119086460032626,10325,0.67373572593801,8425,0.549755301794454,3725,0.243066884176183
713,142275,27000,6850,0.189773326304692,0.0481461957476718,34100,0.239676682481111,74325,0.522403795466526,32925,0.231418028465999,75500,0.530662449481638,31475,0.221226497979265,76950,0.540853979968371,30625,0.215252152521525,77800,0.546828325426111,49425,0.347390616763311,59000,0.414689861184326,30300,0.212967843964154,78125,0.549112633983483,100150,0.703918467756106,8275,0.0581620101915304,100075,0.703391319627482,8350,0.0586891583201545,1e+05,0.702864171498858,8425,0.0592163064487787,99875,0.701985591284484,8550,0.0600948866631523,69950,0.491653487963451,38475,0.270426989984186,99650,0.700404146898612,8775,0.0616763310490247,21725,0.152697241258127,86700,0.60938323668951,22900,0.160955895273238,85525,0.601124582674398,23600,0.16587594447373,84825,0.596204533473906,24125,0.169565981374099,84300,0.592514496573537,21850,0.1535758214725,86575,0.608504656475136,24400,0.171498857845721,84025,0.590581620101915,91650,0.644175013178703,16775,0.117905464768933,92825,0.652433667193815,15600,0.109646810753822,93025,0.653839395536812,15400,0.108241082410824,93400,0.656475136179933,15025,0.105605341767703,44825,0.315058864874363,63600,0.447021613073274,93650,0.65823229660868,14775,0.103848181338956
